"tac";"handset_brand";"handset_model";"reporting_body";"approved_in";"gsm450";"gsm850";"gsm900";"gsm1800";"gsm1900";"gsmr";"gsm3";"foma";"iden800";"cdma800";"cdma1800";"cdma1900";"tdma";"satellite"
"'350390";"Chi Mei";"Newton";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350395";"VKMobile";"VK Mobile";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350396";"Vitelcom";"Epsilon Malaga";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350399";"Orange";"SPV";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350401";"Curitel";"Neomi";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350414";"Microcell";"GM818";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350416";"Toplux";"C-288";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350420";"Hyundai";"HM-L120";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350437";"GTRAN";"DotSufer";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350440";"Capitel";"C5088";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350441";"Najing";"GM958";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350458";"Pantech";"CUTE";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350459";"Dalian Daxian";"D3100";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350460";"Telsda";"SG 4500";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350468";"Daewoo";"DW710";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350478";"BenQ";"S620i";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350481";"Infineon";"WGM1310";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350492";"MVATEC";"MVG-8100";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350672";"VTech Mobile";"SPT88w";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350677";"Cellon";"YTR 02";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350714";"Audiovox";"GP710";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350715";"D-NET";"D988";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350717";"Teling Technology";"TG-8099";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350719";"GVC";"A618";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350723";"Haier";"Tian Zhi Xing";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350725";"Legend XOCECO";"G218";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350738";"Telecom Equipment Factory";"C6288";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350764";"NovaTel";"Merlin G201";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350789";"Voxson";"VX2720";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350815";"RAKS Elektronik";"R7530";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350823";"Marconi";"RMM 4100";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350850";"Inventec";"KM178";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350853";"IPWireless";"Wireless Broadband Modem BK";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350858";"Palmax";"XG2P";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350859";"ZTE";"Z68";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350879";"Moneyline";"P2000 1900 GSM";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350897";"Nixxo";"NXG-8100";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350929";"MobiCom";"C6088";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350931";"Qualcomm";"TM5200c";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"'350932";"Tellumat (Pty) Limited";"PubliCell GSM Payphone";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350936";"TCL Mobile";"TCL2868";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350941";"Handspring";"Treo 270";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350950";"Enteos";"i-GO 500";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350953";"Autoliv";"2204194J 2204194L";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350963";"ABB";"Veriphon D45-1P";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"'350965";"Sewon";"SG-1200";"British Approvals Board of Telecommunications (BABT)";"Europe";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
