33230500,Sagem,MC3016M51-6  ,,,
33230600,Sagem,MC3006M51-6  ,,,
33230700,Sagem,MW3046M51-6  ,,,
33230900,Sagem,MXWiMXWi  ,,,
33231000,Sagem,M51-6,,,
33231100,Sagem,MW3036EM51-6  ,,,
33231200,Sagem,MC3010M51  ,,,
33231300,Sagem,MW3040M51  ,,,
33231400,Sagem,M51-2,,,
33231500,Sagem,MC3002M51-2  ,,,
33231600,Sagem,MC3012M51-2  ,,,
33231700,Sagem,MW3022M51-2  ,,,
33231800,Sagem,MW3042M51-2  ,,,
33232000,Sagem,M52,,,
33232100,Sagem,MW3030M52  ,,,
33232200,Sagem,MW3032M52  ,,,
33232300,Sagem,MW3036M52  ,,,
33232400,Sagem,MW3050M52  ,,,
33232500,Sagem,MW3052M52  ,,,
33232600,Sagem,MW3056M52  ,,,
33232700,Sagem,IMAGECARDINAL  ,,,
33300000,Sagem,T412P-P,,,
33300100,Sagem,T412S-P,,,
33300200,Sagem,T412F-P,,,
33300300,Sagem,T412S-B,,,
33300400,Sagem,T412F-B,,,
33504400,Nokia,3100RH-19 (DCT-4)  ,,,
33530760,Nokia,6500sRM-278 (BB5)  ,,,
33533700,Nokia,2650RH-53 (DCT-4)  ,,,
34498102,Samsung,SGH-M140,,,
34935400,Samsung,SGH-D410,,,
35000400,Nokia,6091RTE-4RD (DCT-3)  ,,,
35001600,Siemens AG,SL45 U35 SL42-LAGS30880-S48X0  ,,,
35001700,Siemens AG,U3588 6686iS30880-S4800  ,,,
35001900,Siemens AG,A35 A36 A40 B35N B40S30880-S4300 -S4350 -S4400  ,,,
35002000,Siemens AG,A35 B35NS30880-S4350  ,,,
35002100,Siemens AG,A36 A4088 B3588NS30880-S4300 -S4350 -S4400  ,,,
35002200,Siemens AG,A35 B3588NS30880-S4350  ,,,
35002300,Maxon,MX6811A,,,
35002400,Maxon,MX6810B,,,
35002500,Maxon,MX6810A,,,
35002600,Maxon,MX6811B,,,
35002900,Motorola,Timeport 260MT3-411A11  ,,,
35003000,Motorola,GPRS ModuleMT3-411A21  ,,,
35003900,Matsushita,Panasonic GD52,,,
35004000,Nec,DB3800MP5J1R2-1B  ,,,
35004100,Maxon,MX6813,,,
35004200,Maxon,MX6817,,,
35004300,Samsung,SGH-2210,,,
35004400,Samsung,SGH-2410,,,
35004600,Maxon,MX6850,,,
35004700,Maxon,MX6851,,,
35004800,Matsushita,Panasonic GD52,,,
35004900,Philips,TCD208 -238 -218 -268,,,
35005000,Philips,CT9660,,,
35005100,Philips,GW 901A,,,
35005200,Philips,CT2828 CT2888 Fisio311,,,
35005300,Philips,CT9888 CT9889,,,
35005400,Philips,CT3328 CT3229,,,
35005500,Philips,TCD996 (X15 Pocket),,,
35005600,Philips,TOP 9672,,,
35005700,Philips,CT1208 CT1218,,,
35005800,Philips,CT2828 CT2888 Fisio311,,,
35005900,Telit Mobile Terminals,SAT600,,,
35006000,Telit Mobile Terminals,GM812,,,
35006100,Telit Mobile Terminals,GM832,,,
35006200,Telit Mobile Terminals,GM862S,,,
35006300,Telit Mobile Terminals,GM825,,,
35006400,Telit Mobile Terminals,GM910I,,,
35006500,Telit Mobile Terminals,GM360M,,,
35006600,Telit Mobile Terminals,GM810E,,,
35006700,Telit Mobile Terminals,GM810ES,,,
35006800,Telit Mobile Terminals,GM940,,,
35007600,Matsushita,Panasonic GD93,,,
35007700,Siemens AG,S40S30880-S6400  ,,,
35007800,Siemens AG,S42,,,
35007900,Siemens AG,C30S30880-S6000  ,,,
35008000,Siemens AG,M30,,,
35009000,Maxon,MX6830,,,
35009100,Maxon,MX6831,,,
35009200,Research in Motion Ltd,BlackberryR900/1800G-2/1-4  ,,,
35009600,Sendo,Duli D800 A800 D100 H9238SND880  ,,,
35009700,Samsung,SGH-N100,,,
35009800,Nec,DB3300WMP5J1R1-1C  ,,,
35009900,Samsung,SGH-800C+,,,
35010900,Nokia,6091RTE-4RB (DCT-3)  ,,,
35011000,Nokia,6091RTE-3RU (DCT-3)  ,,,
35011300,Nokia,6090NME-3 (DCT-3)  ,,,
35012300,Samsung,SGH-N188,,,
35012500,Samsung,SGH-N300,,,
35012600,Samsung,SGH-A288,,,
35012700,Samsung,SGH-A200,,,
35012800,Samsung,SGH-N300,,,
35012900,Samsung,SGH-N288,,,
35013000,Samsung,SGH-N400,,,
35013200,Maxon,MX6832,,,
35013300,Maxon,MX6833,,,
35013400,Maxon,MX6836,,,
35013500,Maxon,MX6837,,,
35015600,Sendo,RubiSND200  ,,,
35015700,Telit Mobile Terminals,GM862S1,,,
35015800,Telit Mobile Terminals,GM822,,,
35015900,Telit Mobile Terminals,GM882,,,
35016000,Telit Mobile Terminals,GM824,,,
35016100,Telit Mobile Terminals,G80,,,
35016200,Telit Mobile Terminals,G82,,,
35016300,Telit Mobile Terminals,GM862GPRS,,,
35016600,Telit Mobile Terminals,G83,,,
35016700,Maxon,MX6812,,,
35016800,Maxon,MX6816,,,
35016900,Matsushita,Panasonic EB-GD35,,,
35017000,Siemens AG,S45/S45iS30880-S4500  ,,,
35017100,Siemens AG,S4588 6618S30880-S4500  ,,,
35017200,Siemens AG,ME45S30880-S4600  ,,,
35017300,Siemens AG,ME4588 3618S30880-S4600  ,,,
35017400,Siemens AG,MX45S30880-S4620  ,,,
35017500,Siemens AG,MX4588 8118S30880-S4620  ,,,
35017900,Matsushita,Panasonic GD92,,,
35018000,Samsung,SGH-A100,,,
35018300,Samsung,SGH-N105,,,
35018500,Konka,Konka 3268,,,
35018600,Konka,Konka 7218,,,
35018700,Samsung,SGH-A300,,,
35018900,Samsung,Kejian K98,,,
35019100,Innostream,I-100,,,
35019200,Maxon,MX6820,,,
35019300,Innostream,I-200,,,
35019400,Samsung,SGH-N200,,,
35019500,Samsung,SGH-R200,,,
35019800,Samsung,SGH-A308,,,
35019900,Matsushita,Panasonic GD80,,,
35020000,Nec,NTT Docomo N2001 N2002FOMA  ,,,
35020100,Matsushita,NTT Docomo P2001FOMA  ,,,
35020200,Matsushita,NTT Docomo P2101VFOMA  ,,,
35020300,Matsushita,NTT Docomo P2401FOMA  ,,,
35020400,Sharp,NTT Docomo SH2101V SHV2102V,,,
35020500,Fujitsu Ltd,NTT Docomo F2601 F2611FOMA FMP01-001  ,,,
35020800,Nec,CS-2000 Voice Turnup Test,,,
35020900,Toshiba Corporation,FOMA T2102V,,,
35021000,Nec,J-N001, RN-T001,,,
35021300,Sharp,W-001,,,
35021400,Matsushita,NTT Docomo P002FOMA  ,,,
35021500,Fujitsu Ltd,NTT Docomo F2051FOMA FMP02-SANREMO  ,,,
35021600,Nec,NTT Docomo N2051FOMA  ,,,
35021700,Matsushita,NTT Docomo P2102VFOMA  ,,,
35021800,Nec,NTT Docomo N2701FOMA IPN2000  ,,,
35021900,Nec,CCU-WA,,,
35022000,Nec,V-N701,,,
35022100,Fujitsu Ltd,NTT Docomo F2402FOMA FMP03-PARSLEY  ,,,
35022300,Fujitsu Ltd,NTT Docomo F2102VFOMA FMP04-CYPRUS  ,,,
35022400,Nec,NTT Docomo N2102VFOMA KMP7L1A1-1A  ,,,
35022500,Nec,KMP7N3A1-1A,,,
35022600,Nec,KMP6H2A1-1A,,,
35022700,Nec,KMP6H2B1-1A,,,
